ack,chance,vazao,tempo
-2,0,"232,875","2474,188"
-2,0,"224,892","2470,157"
-2,0,"233,949","2464,431"
-2,0,"207,793","2465,642"
-2,0,"207,681","2406,085"
-2,0,"231,494","2494,183"
-2,0,"216,800","2553,204"
-2,0,"120,478","2448,639"
-2,0,"222,471","2497,133"
-2,0,"196,606","2527,456"
-2,0,"213,312","2415,549"
-2,0,"210,115","2366,578"
-2,0,"241,558","2513,848"
-2,0,"190,603","2549,132"
-2,0,"190,987","2525,359"
-2,0,"238,941","2342,664"
-2,0,"215,631","2546,249"
-2,0,"240,821","2389,431"
-2,0,"217,408","2443,697"
-2,0,"200,123","2477,637"
-2,3,"179,016","2725,064"
-2,3,"193,623","2552,008"
-2,3,"177,771","2538,230"
-2,3,"185,800","2687,168"
-2,3,"186,573","2694,523"
-2,3,"173,154","2743,204"
-2,3,"194,196","2721,764"
-2,3,"201,849","2741,027"
-2,3,"205,864","2651,719"
-2,3,"211,751","2706,541"
-2,3,"191,776","2656,534"
-2,3,"195,724","2390,629"
-2,3,"205,423","2642,914"
-2,3,"185,664","2738,077"
-2,3,"185,068","2686,931"
-2,3,"177,756","2664,660"
-2,3,"186,278","2666,600"
-2,3,"215,654","2691,240"
-2,3,"176,051","2735,716"
-2,3,"182,035","2771,318"
-2,6,"174,244","2770,157"
-2,6,"195,594","2763,303"
-2,6,"197,493","2686,493"
-2,6,"162,409","2741,905"
-2,6,"172,076","2828,831"
-2,6,"188,121","2806,704"
-2,6,"175,075","2636,649"
-2,6,"175,968","2822,473"
-2,6,"149,997","2745,502"
-2,6,"173,959","2874,589"
-2,6,"198,040","2661,464"
-2,6,"184,302","2755,330"
-2,6,"173,754","2852,253"
-2,6,"173,170","2792,361"
-2,6,"180,157","2837,500"
-2,6,"189,294","2836,516"
-2,6,"177,304","2794,067"
-2,6,"202,275","2753,283"
-2,6,"176,512","2814,513"
-2,6,"182,312","2777,006"
-2,9,"185,711","2742,653"
-2,9,"158,620","2859,162"
-2,9,"183,216","2870,780"
-2,9,"176,981","2861,251"
-2,9,"162,612","2875,015"
-2,9,"184,243","2809,501"
-2,9,"194,397","2740,125"
-2,9,"189,912","2670,063"
-2,9,"191,955","2686,293"
-2,9,"170,312","2842,324"
-2,9,"186,421","2744,629"
-2,9,"175,589","2765,416"
-2,9,"165,516","2718,071"
-2,9,"184,807","2770,695"
-2,9,"186,175","2715,122"
-2,9,"202,635","2668,409"
-2,9,"195,157","2646,387"
-2,9,"172,188","2825,313"
-2,9,"174,088","2793,828"
-2,9,"181,997","2819,629"
-1,0,"685,711","715,987"
-1,0,"738,546","683,837"
-1,0,"753,493","685,220"
-1,0,"759,037","687,432"
-1,0,"748,284","689,986"
-1,0,"737,877","740,183"
-1,0,"799,327","686,693"
-1,0,"734,503","671,189"
-1,0,"727,911","735,571"
-1,0,"729,431","693,438"
-1,0,"736,424","674,556"
-1,0,"756,683","663,949"
-1,0,"726,764","674,222"
-1,0,"725,569","685,718"
-1,0,"716,062","734,786"
-1,0,"742,005","689,520"
-1,0,"712,456","675,397"
-1,0,"758,636","681,618"
-1,0,"780,165","683,590"
-1,0,"830,013","629,259"
-1,3,"23,477","20741,604"
-1,3,"21,547","20684,955"
-1,3,"22,142","20691,879"
-1,3,"25,122","20556,264"
-1,3,"25,317","20698,582"
-1,3,"25,459","20417,256"
-1,3,"24,383","20481,380"
-1,3,"24,835","20707,648"
-1,3,"26,434","20734,957"
-1,3,"23,989","20521,824"
-1,3,"24,966","20661,668"
-1,3,"26,333","20541,076"
-1,3,"22,630","20539,838"
-1,3,"23,223","20651,484"
-1,3,"24,090","20667,740"
-1,3,"23,939","20592,527"
-1,3,"24,561","20637,363"
-1,3,"22,522","20759,596"
-1,3,"25,365","20660,297"
-1,3,"26,432","20531,053"
-1,6,"11,660","42487,130"
-1,6,"11,400","41942,460"
-1,6,"11,551","42277,492"
-1,6,"12,318","42428,640"
-1,6,"13,639","42301,586"
-1,6,"12,868","42265,426"
-1,6,"12,800","42307,160"
-1,6,"10,770","41890,215"
-1,6,"11,586","41960,350"
-1,6,"12,521","42318,830"
-1,6,"10,964","41938,887"
-1,6,"11,554","42435,027"
-1,6,"12,771","41952,473"
-1,6,"9,956","42530,560"
-1,6,"10,379","42270,100"
-1,6,"11,969","42522,010"
-1,6,"13,425","42158,625"
-1,6,"11,844","42333,004"
-1,6,"10,911","42500,125"
-1,6,"11,812","42478,410"
-1,9,"7,285","68304,230"
-1,9,"7,327","67943,195"
-1,9,"6,579","67738,140"
-1,9,"7,190","68333,670"
-1,9,"7,885","68350,270"
-1,9,"6,744","68278,230"
-1,9,"7,313","68112,160"
-1,9,"3,888","68309,290"
-1,9,"6,837","68087,660"
-1,9,"7,391","67576,140"
-1,9,"7,135","67576,540"
-1,9,"8,293","67436,984"
-1,9,"7,722","68073,520"
-1,9,"7,113","67908,090"
-1,9,"7,938","68040,086"
-1,9,"6,637","68485,440"
-1,9,"8,061","68441,650"
-1,9,"8,247","68529,340"
-1,9,"7,207","68300,914"
-1,9,"7,763","67777,484"
0,0,"7619,911","72,950"
0,0,"7272,837","75,692"
0,0,"6623,648","80,456"
0,0,"7304,536","74,974"
0,0,"7377,342","74,376"
0,0,"7077,087","76,831"
0,0,"7362,515","74,227"
0,0,"7048,402","77,708"
0,0,"7495,468","74,075"
0,0,"7567,065","72,687"
0,0,"7484,479","73,332"
0,0,"6901,511","78,936"
0,0,"7395,141","73,754"
0,0,"7435,030","74,057"
0,0,"7613,661","72,912"
0,0,"7200,000","76,282"
0,0,"7079,469","77,138"
0,0,"7395,629","74,815"
0,0,"7315,537","74,774"
0,0,"7308,437","75,397"
0,3,"4492,885","116,439"
0,3,"4492,241","113,677"
0,3,"4533,239","114,087"
0,3,"4477,350","122,553"
0,3,"4173,154","119,239"
0,3,"4093,932","123,598"
0,3,"4690,802","114,737"
0,3,"4470,412","118,404"
0,3,"4712,655","109,817"
0,3,"4918,395","106,453"
0,3,"4292,280","113,577"
0,3,"4842,452","106,837"
0,3,"4556,177","113,075"
0,3,"4429,179","118,301"
0,3,"4844,504","108,987"
0,3,"4687,846","110,904"
0,3,"4194,925","123,099"
0,3,"4383,739","118,398"
0,3,"4466,157","119,495"
0,3,"4803,749","113,403"
0,6,"2155,885","215,059"
0,6,"2485,533","207,903"
0,6,"2566,501","204,611"
0,6,"2650,691","209,862"
0,6,"2626,765","211,351"
0,6,"2369,115","206,318"
0,6,"2374,978","209,350"
0,6,"2653,954","214,499"
0,6,"2398,487","215,635"
0,6,"2312,066","232,314"
0,6,"2438,607","214,484"
0,6,"2266,172","204,181"
0,6,"2509,274","217,554"
0,6,"2499,723","203,354"
0,6,"2180,221","230,972"
0,6,"2190,011","214,779"
0,6,"2279,411","211,994"
0,6,"2637,590","219,082"
0,6,"2342,601","217,320"
0,6,"2504,595","204,776"
0,9,"1502,657","390,607"
0,9,"1008,232","448,164"
0,9,"1417,342","382,134"
0,9,"1225,257","399,631"
0,9,"1152,312","403,648"
0,9,"1180,371","377,356"
0,9,"1129,983","435,527"
0,9,"1443,338","378,896"
0,9,"1094,846","387,714"
0,9,"1301,735","382,645"
0,9,"1321,402","390,248"
0,9,"1404,772","360,709"
0,9,"1296,870","400,980"
0,9,"1435,978","342,837"
0,9,"1116,058","382,310"
0,9,"1469,979","421,021"
0,9,"1083,280","401,266"
0,9,"1097,060","385,279"
0,9,"1286,724","405,732"
0,9,"1086,977","387,296"
1,0,"1378,271","372,850"
1,0,"1391,499","361,284"
1,0,"1381,097","376,905"
1,0,"1209,630","411,727"
1,0,"1411,167","376,925"
1,0,"1420,791","379,817"
1,0,"1142,000","450,819"
1,0,"1442,982","356,786"
1,0,"1457,843","355,955"
1,0,"1460,981","360,596"
1,0,"1366,788","380,893"
1,0,"1351,405","375,501"
1,0,"1526,815","355,460"
1,0,"1262,559","396,590"
1,0,"1335,765","383,224"
1,0,"1407,045","348,131"
1,0,"1307,900","403,875"
1,0,"1422,180","367,237"
1,0,"1333,247","384,802"
1,0,"1333,495","378,563"
1,3,"75,442","7119,291"
1,3,"76,721","7105,435"
1,3,"65,212","7008,136"
1,3,"83,182","7020,062"
1,3,"78,482","7037,986"
1,3,"71,763","7096,017"
1,3,"67,430","7025,876"
1,3,"78,206","7025,314"
1,3,"74,493","7116,070"
1,3,"71,698","7044,462"
1,3,"61,363","7150,151"
1,3,"59,180","7027,144"
1,3,"74,742","6975,960"
1,3,"64,303","7096,621"
1,3,"71,341","7067,022"
1,3,"70,737","7147,203"
1,3,"75,373","7075,141"
1,3,"74,947","7059,072"
1,3,"73,069","6983,502"
1,3,"63,309","7120,606"
1,6,"29,342","13939,736"
1,6,"33,912","13936,117"
1,6,"34,234","13998,224"
1,6,"37,293","13864,144"
1,6,"39,683","13952,302"
1,6,"33,765","14015,392"
1,6,"33,158","13896,260"
1,6,"35,475","14046,166"
1,6,"31,333","13921,195"
1,6,"38,490","13930,251"
1,6,"36,159","13877,300"
1,6,"34,336","14003,281"
1,6,"37,830","13859,522"
1,6,"36,169","13941,052"
1,6,"37,484","13947,212"
1,6,"34,958","13897,775"
1,6,"35,130","13953,135"
1,6,"36,257","13775,670"
1,6,"33,404","14132,817"
1,6,"33,946","13750,257"
1,9,"26,108","21276,129"
1,9,"23,441","21593,250"
1,9,"23,262","21505,620"
1,9,"25,888","21350,688"
1,9,"23,696","21440,398"
1,9,"18,355","21450,402"
1,9,"23,490","21426,818"
1,9,"21,552","21420,156"
1,9,"24,378","21366,793"
1,9,"26,131","21372,748"
1,9,"25,374","21434,203"
1,9,"23,785","21421,344"
1,9,"23,455","21474,836"
1,9,"23,236","21244,430"
1,9,"24,070","21481,428"
1,9,"22,740","21545,781"
1,9,"22,431","21519,197"
1,9,"23,513","21474,621"
1,9,"20,342","21390,158"
1,9,"24,672","21301,800"